X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
39.67873426,-105.0209806,1,0,specialist,Daniel Earl Hulme,39.6788455,-105.0215196,TwoThousandTen,156,31,8,15600,8,8031015600
39.74365703,-104.8368207,1,0,specialist,Scott Michael Maloney,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.7514639,-104.8896708,1,0,specialist,Matthew Kurt Alleman,39.7513163,-104.8898881,TwoThousandTen,41.07,31,8,4107,8,8031004107
39.65322823,-104.8090297,1,0,specialist,Gregory Raymond Werner,39.6533855,-104.8085161,TwoThousandTen,816,5,8,81600,8,8005081600
39.74113735,-104.8366043,1,0,specialist,Quen Cam Ly,39.742127,-104.8352452,TwoThousandTen,81,1,8,8100,8,8001008100
39.51174018,-104.764129,1,0,specialist,Sakib I Vahora,39.51168,-104.7649155,TwoThousandTen,139.05,35,8,13905,8,8035013905
39.88464395,-105.0250762,1,0,specialist,Trevor Gregg Johnson,39.8841857,-105.0225517,TwoThousandTen,93.21,1,8,9321,8,8001009321
38.92073078,-104.717365,1,0,specialist,David Andrew Benson,38.9207972,-104.7184171,TwoThousandTen,51.06,41,8,5106,8,8041005106
39.85535227,-105.0817714,1,0,specialist,Rajvinder Kaur Marwah,39.82647427,-105.0632717,TwoThousandTen,102.08,59,8,10208,8,8059010208
38.79722636,-104.7577278,1,0,specialist,Jacob Gerhard Zitterkopf,38.79802539,-104.7576571,TwoThousandTen,54,41,8,5400,8,8041005400
39.57335552,-104.9843741,1,0,specialist,Wade Douglas Housewright,39.5731471,-104.9846814,TwoThousandTen,56.32,5,8,5632,8,8005005632
39.85535227,-105.0817714,1,0,specialist,Robert Stephen Judd,39.82647427,-105.0632717,TwoThousandTen,102.08,59,8,10208,8,8059010208
38.31259049,-104.6224706,1,0,specialist,Steven Frank Reck,38.31259038,-104.6256757,TwoThousandTen,29.03,101,8,2903,8,8101002903
39.74365703,-104.8368207,1,0,specialist,Enrique Hernandez,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.65322823,-104.8090297,1,0,specialist,Bryan Jens Houlberg,39.6533855,-104.8085161,TwoThousandTen,816,5,8,81600,8,8005081600
40.57432208,-105.1151197,1,0,specialist,Timothy Charles Hardy,40.5737741,-105.1163913,TwoThousandTen,5.06,69,8,505,8,8069000505
38.79722636,-104.7577278,1,0,specialist,David Russell Baer,38.79802539,-104.7576571,TwoThousandTen,54,41,8,5400,8,8041005400
40.52713617,-105.066662,1,0,specialist,Cory Faust Coombs,40.5275704,-105.0658723,TwoThousandTen,10.07,69,8,1007,8,8069001007
39.727305,-104.9903162,1,0,specialist,Steven Richard Nelson,39.7282851,-104.990525,TwoThousandTen,18,31,8,1800,8,8031001800
38.24433006,-104.6623879,1,0,specialist,Randall John Snyder,38.2443409,-104.6628441,TwoThousandTen,28.07,101,8,2807,8,8101002807
39.718026,-105.0814053,1,0,specialist,Robert Alan Craig,39.71801576,-105.0810343,TwoThousandTen,116.02,59,8,11602,8,8059011602
39.50733445,-104.7611304,1,0,specialist,Cindy Theresa Hebert,39.5077005,-104.7612745,TwoThousandTen,139.07,35,8,13907,8,8035013907
39.69003404,-105.053218,1,0,specialist,Roger Lee Bumgarner,39.6900217,-105.0528983,TwoThousandTen,46.01,31,8,4601,8,8031004601
39.94461193,-104.9403904,1,0,specialist,Tye Abram Roylance,39.9444981,-104.9422554,TwoThousandTen,85.44,1,8,8544,8,8001008544
39.68227048,-105.071283,1,0,specialist,Antonio Silva-Oseguera,39.68324975,-105.0712702,TwoThousandTen,118.04,59,8,11804,8,8059011804
