idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
783,"6100 N DREXEL STE. B,OKC,OK,73112",0,0,1,109,35.53254577,-97.56996517,0,0
784,"611 S. GEORGE NIGH EXPWAY,MCALESTER,OK,74501",1,0,0,121,34.9817941,-95.79467287,0,0
785,"611 WEST RUTH AVENUE,SALLISAW,OK,74955",1,0,0,135,35.49392847,-94.75661093,0,0
786,"6112 E 61ST STREET,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
787,"6118 E 106TH STREET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
788,"613 SW 32ND ST.,OKC,OK,73109",1,0,0,109,35.43314126,-97.52454765,0,0
789,"6130 E 61ST STREET,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
790,"6139 E 91ST STREET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
791,"6141 E 91ST STREET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
792,"615 E OKLAHOMA AVE #102,ENID,OK,73703",1,0,0,47,36.39304013,-97.86955877,0,0
793,"615 E OKLAHOMA AVE #103,ENID,OK,73701",1,0,0,47,36.39304013,-97.86955877,0,0
794,"615 W SHAWNEE STREET,MUSKOGEE,OK,74401",1,0,0,101,35.72182409,-95.4653354,0,0
795,"616 WEST 18TH STREET,EDMOND,OK,73034",1,0,0,109,35.70188846,-97.42549708,0,0
796,"621 S HARDING,ENID,OK,73703",3,0,0,47,36.4276184,-97.9622111,0,0
797,"623 W BROADWAY,ENID,OK,73701",2,0,0,47,36.42778726,-97.78617148,0,0
798,"6281 E. 120TH CT.,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
799,"6300 N HERITAGE COURT,EDMOND,OK,73003",1,0,0,109,35.66897845,-97.49717346,0,0
800,"6303 N PORTLAND, STE. #209,OKC,OK,73112",1,0,0,109,35.53534122,-97.58353313,0,0
801,"6305 WATERFORD BLVD #445,OKC,OK,73118",1,0,0,109,35.53557829,-97.54502628,0,0
802,"6316 HERITAGE COURT,EDMOND,OK,73025",1,0,0,109,35.7203647,-97.4844016,0,0
803,"6333 S MEMORIAL, STE. G,TULSA,OK,74133",1,0,0,143,36.07167718,-95.8863177,0,0
804,"635 N BERRY ROAD,NORMAN,OK,73069",1,0,0,27,35.24963606,-97.46290905,0,0
805,"635 S MAIN ST,SAPULPA,OK,74066",1,0,0,37,35.99284691,-96.16456198,0,0
806,"635 SOUTH MAIN,SAPULPA,OK,74066",1,0,0,37,35.99284691,-96.16456198,0,0
807,"6384 N. LOCUST LANE,OWASSO,OK,74055",1,0,0,143,36.27843673,-95.81892391,0,0
808,"6408 BEAVER CREEK ROAD,OKC,OK,73162",1,0,0,109,35.5827524,-97.6288159,0,0
809,"6428 NW GRAND BLVD,NICHOLS HILLS,OK,73116",0,0,1,109,35.54633317,-97.56416266,0,0
